"MIP","STDIP","EKIP","SIP","MC","STDC","EKC","SC","TARGET"
"104.328125","41.70752131","1.748107196","0.481346849","6.112876254","31.83921461","31.25637134","5.593785604","0"
"11.8203125","37.25826955","28.65597499","5.340501841","146.7257525","75.39944935","-1.219306736","-0.29078496","1"
"104.5","46.78140656","0.665676813","0.610510735","1.9590301","13.70432494","139.6713668","10.42852777","0"
"104.578125","54.35884952","-0.319441844","0.252295974","3.532608696","18.51736346","63.89881081","7.170142749","0"
"8.2265625","32.5579327","35.28723836","5.896484313","184.5259197","62.91485857","0.176960674","-1.019263452","1"
"104.5078125","50.27440267","-0.169219124","0.268410223","1.72993311","17.0579812","147.0344346","11.70664214","0"
"104.46875","49.46730889","-0.094803479","0.328236045","2.026755853","15.99339182","115.1046407","10.00412717","0"
"11.9765625","29.57761634","56.53774698","7.550921894","128.0200669","73.431466","-0.899232451","-0.124471665","1"
"11.21875","30.97351124","37.86874123","5.992364991","97.44565217","76.52752946","-1.020215434","0.191543281","1"
"12.203125","31.2170725","36.8500351","5.926254772","98.86789298","77.91638134","-1.081045933","0.156919399","1"
"104.2734375","48.3818979","0.446316052","0.426181036","2.410535117","17.3613819","97.82337474","9.262937896","0"
"104.234375","49.66410367","0.094257539","0.313859893","7.935618729","35.33882867","19.34683135","4.490900033","0"
"104.546875","51.51378144","0.072167116","0.438275251","2.868729097","16.30818347","87.51987032","8.323439778","0"
"104.1953125","43.84187827","0.271703878","0.000684543","1.359531773","11.03003657","264.4844761","14.14806512","0"
"104.2734375","52.6755569","-0.214982942","0.326737781","3.191471572","23.1997858","64.40160976","7.854307038","0"
"104.2734375","45.08788551","0.583530523","0.242374645","3.41722408","18.61080002","75.48679081","7.916057485","0"
"7.828125","30.71520119","42.46402931","6.435012012","121.4046823","47.96556853","1.203138762","0.663053339","1"
"104.4765625","47.98159882","0.206041969","0.353676271","2.317725753","18.24836237","80.36671865","8.663603402","0"
"8.1015625","31.35154498","38.48028348","6.091617155","92.85618729","54.66816332","0.696454218","0.968097795","1"
"11.140625","25.69524955","68.10162173","8.069522046","75.83277592","70.8948215","-0.152781378","0.781355646","1"
"10.078125","38.35251975","26.46538334","5.20018925","122.1613712","65.31915379","-1.049979848","0.144130842","1"
"104.515625","47.86471567","0.011958706","0.195533185","2.741638796","19.21318454","71.02013489","8.070856857","0"
"8.109375","33.7090572","39.09460495","6.172109061","111.3520067","72.14791573","-1.189458162","0.204405534","1"
"13.796875","31.31701798","38.47727791","6.099613976","68.7541806","68.01215788","-0.354039516","0.721158338","1"
"6.4140625","30.92014092","40.10131647","6.187429415","121.367893","61.4164204","-1.027613812","0.295248594","1"
"11.6328125","30.55166503","40.839036","6.255561501","55.10284281","69.24592855","0.007548225","1.000682016","1"
"8.375","33.25187965","38.72489612","6.143548189","113.8687291","66.35820746","-1.026766473","0.254297556","1"
"11.03125","31.47045676","36.69314003","5.994345191","155.5434783","69.40382014","-0.805835416","-0.467133441","1"
"10.984375","29.47191045","43.08600693","6.330570288","92.37876254","57.57735396","0.63000038","1.07537358","1"
"104.53125","54.67831173","-0.26018972","0.324195069","3.60367893","18.95078434","50.12110582","6.472968391","0"
"9.046875","32.25626378","35.55460905","5.853990983","106.0869565","62.63553169","-0.475073707","0.582263293","1"
"104.46875","40.16001928","1.209760328","0.497580314","1.549331104","15.83860091","156.440147","12.13570271","0"
"104.453125","50.79029487","-0.281733781","0.033467119","25.08277592","57.04959414","4.076690957","2.243041839","0"
"13.0234375","30.32260523","54.56866378","7.400253989","112.9916388","69.89693749","-0.657516962","0.244507229","1"
"10.6875","33.90237593","31.12910769","5.473132541","157.9673913","64.39476214","-0.8685526","-0.336183118","1"
"9.234375","30.8046984","41.45140851","6.374391895","114.7934783","49.01487718","1.102280904","0.741781287","1"
"104.5625","46.22664106","0.370896778","0.320866577","0.948160535","12.77509289","250.1172532","15.25125542","0"
"7.84375","33.32567458","35.95996558","5.932129649","87.61371237","59.29353836","0.276732612","0.950108382","1"
"6.9375","33.50670409","34.35071294","5.797935319","122.430602","57.29073626","-0.516564424","0.686234836","1"
"104.4609375","48.42728156","0.310020205","0.407690403","1.968227425","11.87338416","191.8415647","11.44229762","0"
"11.984375","34.36476765","31.71130059","5.537336821","135.3645485","72.54233602","-0.918832575","-0.214302392","1"
"11.0390625","31.05348268","54.20498149","7.377865378","117.8377926","69.81577844","-0.606891086","-0.000668155","1"
"9.484375","36.07348931","31.16068794","5.542155462","112.7550167","46.46298217","0.807904994","0.815807083","1"
"9.9765625","32.25859015","35.45942226","5.859133735","68.93478261","65.17461055","-0.089009483","0.742921419","1"
"13.9453125","28.42734945","49.83630049","6.874326","132.1555184","81.44223117","-1.154878257","-0.271148371","1"
"13.953125","39.75331342","20.0925461","4.502423884","135.3586957","55.87221984","-0.186721387","-0.011732849","1"
"10.078125","34.69298591","32.02867078","5.602282044","71.38879599","56.23080282","1.068630918","1.183233851","1"
"10.8984375","35.17497331","31.58574796","5.568873897","74.29180602","55.49252834","1.034482733","1.031262778","1"
"7.0625","33.6288915","34.93484417","5.835200668","111.8444816","57.00518572","-0.126617647","0.813399064","1"
"8.15625","27.12944592","62.86853087","7.856370386","128.3754181","67.90264793","-0.673350674","-0.177334824","1"
"104.484375","36.33588627","1.868098509","0.099265096","0.762541806","9.644628787","434.6230518","18.87829396","0"
"13.28125","27.46103418","51.71908385","6.878449095","74.5041806","66.06109073","0.410064942","1.133358675","1"
"8.2265625","30.90489819","57.07049316","7.627580248","149.777592","65.43616742","-0.497152087","-0.331612418","1"
"6.5","31.52305704","50.96172018","7.124226849","139.4197324","79.1985529","-1.405542127","-0.056566566","1"
"104.4921875","51.18349284","-0.198148613","0.137351138","2.296822742","12.29064236","161.1494408","10.12187992","0"
"104.2578125","46.75438584","0.075086812","0.482733331","24.01086957","61.68880838","4.761658688","2.476047599","0"
"10.75","37.03925283","28.12321137","5.326652756","108.5443144","66.54038336","-0.816997109","0.381339773","1"
