"MIP","STDIP","EKIP","SIP","MC","STDC","EKC","SC","TARGET"
"101.390625","42.91128828",".570746218",".963874437","6.260869565","29.09631981","4.831480661","23.35762378","0"
"84.7421875","40.00727397","1.368956989","3.812073222","5.736622074","32.04731081","5.9796027","36.14797519","1"
"91.828125","34.11174408","1.446682068","5.265288542","3.741638796","25.31736958","7.23510061","53.58207362","1"
"101.5859375","46.70561518",".603978802","1.127494669","2.263377926","13.53145833","9.522586256","127.2462415","0"
"101.5859375","43.59481896",".245986542",".875398728","2.702341137","21.4769853","8.634194024","77.30705126","0"
"88.4375","37.81177685",".689215581","2.035293755","2.415551839","18.02795281","8.828613361","86.79989428","1"
"101.4453125","46.86713411",".614529344",".680233617","2.602842809","18.66659488","8.855482047","86.23034185","0"
"92.46875","37.78949455",".647792775","2.055608449",".864548495","11.98340745","15.35544717","256.4241567","1"
"101.765625","54.20973223",".459661344","-.092711425","4.383779264","21.87301535","6.264154176","45.93816852","0"
"90.0703125","46.31316356","1.409969609","3.038750015","3.030936455","17.28687362","8.303035615","82.62758841","1"
"101.625","44.37693658",".235900639",".294298703","2.964882943","16.88557114","8.097641057","81.79775406","0"
"91.5859375","45.86929926",".540792016",".914437269","3.393812709","25.49374496","7.937384726","63.53235477","1"
"101.703125","43.90247704",".171922232",".283719729","5.737458194","28.65490032","5.609646849","33.41528716","0"
"84.515625","38.75725424","1.108953491","3.364441065","16.84698997","48.21089227","2.882236481","7.399262069","1"
"89.3359375","42.77087892","1.203622763","2.942802735","7.311036789","33.7223601","5.172775286","27.67197695","1"
"101.453125","47.04765858",".231897964","-.148723102","2.277591973","18.76678378","9.722551725","103.0329098","0"
"91.734375","47.21584155",".60527486",".604172242","9.842809365","40.3842585","4.088567357","15.46865301","1"
"85.828125","44.74792407","1.272535838","2.621678054","23.97742475","53.2413762","2.202864227","3.894429578","1"
"90.3671875","36.78566957","1.553546259","5.185332343","5.619565217","30.87884814","5.991010293","36.56053633","1"
"87.703125","46.23063097","1.302489632","2.084023559","20.15133779","53.70627729","2.744228196","6.484419395","1"
"101.6015625","42.33688179",".497348852",".761909541","1.961538462","16.40249978","10.46316406","122.0324112","0"
